,Session,Time,Accuracy,Trend
E10,session2,2.17,66.70%,0.96
,session3,5.08,75.00%,
,session4,4.83,75.00%,
,,,,
E11,session2,2.33,83.30%,0.92
,session3,5.58,91.70%,
,session4,4.75,75.00%,
,,,,
E5,session2,2.17,100.00%,0.96
,session3,3.92,66.70%,
,session4,4.5,75.00%,
,,,,
?,session2,2.67,83.30%,0.79
,session3,5.58,58.30%,
,session4,5.92,50.00%,
,,,,
E2,session2,1.67,66.70%,0.88
,session3,4.33,66.70%,
,session4,4.67,66.70%,
,,,,
?,session2,2.67,83.30%,0.79
,session3,5.58,58.30%,
,session4,5.92,50.00%,
,,,,
E8,session2,2.33,83.30%,0.79
,session3,5,83.30%,
,session4,5.92,91.70%,
,,,,
E3,session2,4.17,83.30%,0.85
,session3,7.08,83.30%,
,session4,6.58,50.00%,
,,,,
E7,session2,3.33,33.30%,0.81
,session3,5.83,66.70%,
,session4,4.25,83.30%,
,,,,
E1,session2,3,66.70%,0.74
,session3,4.33,83.30%,
,session4,6.17,75.00%,